Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4270092
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,26497881
"Population, total",SP.POP.TOTL,Zambia,ZMB,15879370
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,13814642
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,593871847
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,401586651
"Population, total",SP.POP.TOTL,Arab World,ARB,396028301
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7222197
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,103257886
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3122156833
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2282863725
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2038190024
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2012978425
"Population, total",SP.POP.TOTL,Euro area,EMU,339488382
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,906707413
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,410111294
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,452301310
"Population, total",SP.POP.TOTL,European Union,EUU,444543761
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,730424937
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,718128408
"Population, total",SP.POP.TOTL,High income,HIC,1187317397
"Population, total",SP.POP.TOTL,IBRD only,IBD,4648913836
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6176132700
"Population, total",SP.POP.TOTL,IDA blend,IDB,512877239
"Population, total",SP.POP.TOTL,IDA only,IDX,1014341625
"Population, total",SP.POP.TOTL,IDA total,IDA,1527218864
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2247405366
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,622301041
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,594700237
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,606271936
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,941131317
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6151759257
"Population, total",SP.POP.TOTL,Low income,LIC,584084928
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3103569257
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,425821771
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,363975556
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,359705464
"Population, total",SP.POP.TOTL,Middle income,MIC,5567674329
"Population, total",SP.POP.TOTL,North America,NAC,356507139
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1332787383
"Population, total",SP.POP.TOTL,Other small states,OSS,28948893
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2353578
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1096977604
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,845759372
"Population, total",SP.POP.TOTL,Small states,SST,38524668
"Population, total",SP.POP.TOTL,South Asia,SAS,1749417067
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1749417067
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,995458498
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,995365079
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,995458498
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2464105072
"Population, total",SP.POP.TOTL,World,WLD,7339076654
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/30/2021,,,,
